thread_title,thread_url,post_number,author,timestamp,content,year
2026 Services Australia National Graduate Program -  Graduate programs,https://forums.whirlpool.net.au/thread/3yqm1zvr,100,Skysky,,"User #932402 26 posts Skysky I'm new here, please be nice reference: whrl.pl/RgOL4P posted 2025-May-19, 4:16 pm AEST ref: whrl.pl/RgOL4P posted 2025-May-19, 4:16 pm AEST Hi, has anyone from the Generist Stream or Legal Stream heard back anything?",2025
2026 Services Australia National Graduate Program -  Graduate programs,https://forums.whirlpool.net.au/thread/3yqm1zvr,106,Rocky_123,,"User #800390 51 posts Rocky_123 Participant reference: whrl.pl/RgOMCw posted 2025-May-20, 10:04 am AEST ref: whrl.pl/RgOMCw posted 2025-May-20, 10:04 am AEST Has anyone heard back from the Legal stream?",2025
2026 Services Australia National Graduate Program -  Graduate programs,https://forums.whirlpool.net.au/thread/3yqm1zvr,139,blablabla22,,"User #933406 5 posts blablabla22 I'm new here, please be nice reference: whrl.pl/RgOPav posted 2025-May-22, 6:09 pm AEST ref: whrl.pl/RgOPav posted 2025-May-22, 6:09 pm AEST + virtual AC legal stream :)",2025
2026 Services Australia National Graduate Program -  Graduate programs,https://forums.whirlpool.net.au/thread/3yqm1zvr,142,Skysky,,"User #932402 26 posts Skysky I'm new here, please be nice reference: whrl.pl/RgOPbM posted 2025-May-22, 6:40 pm AEST ref: whrl.pl/RgOPbM posted 2025-May-22, 6:40 pm AEST ah! I did the legal stream too! I haven't heard anything :') Hopefully tomorrow, otherwise it's probably a no :')",2025
Sydney Clerkship 2025 -  Graduate programs,https://forums.whirlpool.net.au/thread/3246kzy8,1,,,"last updated – posted 2025-Aug-8, 9:11 pm AEST posted 2025-Aug-8, 9:11 pm AEST",2025
Sydney Clerkship 2025 -  Graduate programs,https://forums.whirlpool.net.au/thread/3246kzy8,2,SilverVerdict90,,"User #934327 19 posts SilverVerdict90 I'm new here, please be nice reference: whrl.pl/RgPzzi posted 2025-Jul-7, 1:27 pm AEST ref: whrl.pl/RgPzzi posted 2025-Jul-7, 1:27 pm AEST O.P. Starting this thread as applications come to a close this week",2025
Sydney Clerkship 2025 -  Graduate programs,https://forums.whirlpool.net.au/thread/3246kzy8,3,Hopeforanoffer,,"User #916738 24 posts Hopeforanoffer I'm new here, please be nice reference: whrl.pl/RgPGgX posted 2025-Jul-14, 12:46 pm AEST ref: whrl.pl/RgPGgX posted 2025-Jul-14, 12:46 pm AEST Congrats to everyone on submitting their applications! Do we know when we’ll likely start hearing back from most of the firms?",2025
Sydney Clerkship 2025 -  Graduate programs,https://forums.whirlpool.net.au/thread/3246kzy8,5,SilverVerdict90,,"User #934327 19 posts SilverVerdict90 I'm new here, please be nice reference: whrl.pl/RgPGly posted 2025-Jul-14, 2:11 pm AEST ref: whrl.pl/RgPGly posted 2025-Jul-14, 2:11 pm AEST O.P. Congrats everyone we will probably hear back end of July",2025
Sydney Clerkship 2025 -  Graduate programs,https://forums.whirlpool.net.au/thread/3246kzy8,6,chocolatefudge3,,"User #924147 17 posts chocolatefudge3 I'm new here, please be nice reference: whrl.pl/RgPGxG posted 2025-Jul-14, 5:04 pm AEST ref: whrl.pl/RgPGxG posted 2025-Jul-14, 5:04 pm AEST +1 GnT Psych",2025
Sydney Clerkship 2025 -  Graduate programs,https://forums.whirlpool.net.au/thread/3246kzy8,7,Hopeforanoffer,,"User #916738 24 posts Hopeforanoffer I'm new here, please be nice reference: whrl.pl/RgPGB3 posted 2025-Jul-14, 6:30 pm AEST ref: whrl.pl/RgPGB3 posted 2025-Jul-14, 6:30 pm AEST How did they manage to get back to us in just one day? Has anyone heard back from any other firms yet?",2025
Sydney Clerkship 2025 -  Graduate programs,https://forums.whirlpool.net.au/thread/3246kzy8,8,letterofintent22,,"User #934480 9 posts letterofintent22 I'm new here, please be nice reference: whrl.pl/RgPGDx posted 2025-Jul-14, 7:11 pm AEST ref: whrl.pl/RgPGDx posted 2025-Jul-14, 7:11 pm AEST +1 GnT Psych",2025
Sydney Clerkship 2025 -  Graduate programs,https://forums.whirlpool.net.au/thread/3246kzy8,9,SilverVerdict90,,"User #934327 19 posts SilverVerdict90 I'm new here, please be nice reference: whrl.pl/RgPGGb posted 2025-Jul-14, 8:10 pm AEST ref: whrl.pl/RgPGGb posted 2025-Jul-14, 8:10 pm AEST O.P. +1 GnT Psych What time did everyone get the email?",2025
Sydney Clerkship 2025 -  Graduate programs,https://forums.whirlpool.net.au/thread/3246kzy8,10,overthinker123,,"User #889088 44 posts overthinker123 Participant reference: whrl.pl/RgPGJa posted 2025-Jul-14, 9:11 pm AEST ref: whrl.pl/RgPGJa posted 2025-Jul-14, 9:11 pm AEST I thought everyone gets the psych test? I got mine around 12:30pm",2025
Sydney Clerkship 2025 -  Graduate programs,https://forums.whirlpool.net.au/thread/3246kzy8,11,SilverVerdict90,,"User #934327 19 posts SilverVerdict90 I'm new here, please be nice reference: whrl.pl/RgPGKd posted 2025-Jul-14, 9:33 pm AEST edited 2025-Jul-15, 8:02 pm AEST ref: whrl.pl/RgPGKd posted 2025-Jul-14, 9:33 pm AEST (edited 2025-Jul-15, 8:02 pm AEST) O.P. I got mine around 12 Not sure if everyone gets it. Website says only short listed applications but I'm surprised how they can do it in one day",2025
Sydney Clerkship 2025 -  Graduate programs,https://forums.whirlpool.net.au/thread/3246kzy8,12,overthinker123,,"User #889088 44 posts overthinker123 Participant reference: whrl.pl/RgPHEN posted 2025-Jul-15, 7:25 pm AEST ref: whrl.pl/RgPHEN posted 2025-Jul-15, 7:25 pm AEST It is probably done via rolling basis or they just have a WAM cut off",2025
Sydney Clerkship 2025 -  Graduate programs,https://forums.whirlpool.net.au/thread/3246kzy8,13,effystonem92,,"User #871309 309 posts effystonem92 Forum Regular reference: whrl.pl/RgPHFZ posted 2025-Jul-15, 7:48 pm AEST ref: whrl.pl/RgPHFZ posted 2025-Jul-15, 7:48 pm AEST I'm a procrastinating lawyer who went through the Sydney process a few years ago, so I can't guarantee this is still the case or that it's even accurate to begin with. But back then, people generally understood that G+T supposedly used AI to scan our cover letters and other materials for key words to progress candidates for psychometric testing. With ChatGPT and other advancements now, I’d imagine things have evolved quite a bit since then! Hope this helps. :)",2025
Sydney Clerkship 2025 -  Graduate programs,https://forums.whirlpool.net.au/thread/3246kzy8,14,Anonuserrecovery,,"User #885109 79 posts Anonuserrecovery Participant reference: whrl.pl/RgPHF4 posted 2025-Jul-15, 7:49 pm AEST edited 2025-Jul-15, 11:21 pm AEST ref: whrl.pl/RgPHF4 posted 2025-Jul-15, 7:49 pm AEST (edited 2025-Jul-15, 11:21 pm AEST) delete",2025
Sydney Clerkship 2025 -  Graduate programs,https://forums.whirlpool.net.au/thread/3246kzy8,15,overthinker123,,"User #889088 44 posts overthinker123 Participant reference: whrl.pl/RgPHHP posted 2025-Jul-15, 8:24 pm AEST ref: whrl.pl/RgPHHP posted 2025-Jul-15, 8:24 pm AEST Oooh thanks! Quite arbitary to have AI to decide who to progress to the next stage tho",2025
Sydney Clerkship 2025 -  Graduate programs,https://forums.whirlpool.net.au/thread/3246kzy8,16,bootyman123,,"User #933271 15 posts bootyman123 I'm new here, please be nice reference: whrl.pl/RgPHHT posted 2025-Jul-15, 8:25 pm AEST ref: whrl.pl/RgPHHT posted 2025-Jul-15, 8:25 pm AEST I got no confirmation from Ashurst either, so I think it's normal. If the other firms who use cappfinity are anything to go by, we should be emailed a report soon.",2025
Sydney Clerkship 2025 -  Graduate programs,https://forums.whirlpool.net.au/thread/3246kzy8,17,effystonem92,,"User #871309 309 posts effystonem92 Forum Regular reference: whrl.pl/RgPHJD posted 2025-Jul-15, 9:03 pm AEST ref: whrl.pl/RgPHJD posted 2025-Jul-15, 9:03 pm AEST Yeah totally, without fail there were always G+T paralegals who didn't make it through every single year when I was still in uni. That said, the whole process for all the firms can be pretty arbitrary and can be incredibly non-sensical and unfair at times (as I keep reminding my friend who is going through the process this year who reminded me about Whirlpool after all this time). While there might be general rules of thumb, there are always going to be exceptions to the rule, so you just have to try not to drive yourself too crazy reading into it all too much and just know none of it is a genuine reflection on your self-worth or whether you will succeed in commercial law. :)",2025
Sydney Clerkship 2025 -  Graduate programs,https://forums.whirlpool.net.au/thread/3246kzy8,19,Hopeforanoffer,,"User #916738 24 posts Hopeforanoffer I'm new here, please be nice reference: whrl.pl/RgPHKg posted 2025-Jul-15, 9:16 pm AEST ref: whrl.pl/RgPHKg posted 2025-Jul-15, 9:16 pm AEST If the other firms who use cappfinity are anything to go by, we should be emailed a report soon. I haven’t received a report from Ashurst or White & Case",2025
Sydney Clerkship 2025 -  Graduate programs,https://forums.whirlpool.net.au/thread/3246kzy8,20,gordongekko,,"User #933316 49 posts gordongekko I'm new here, please be nice reference: whrl.pl/RgPH2Y posted 2025-Jul-16, 10:16 am AEST ref: whrl.pl/RgPH2Y posted 2025-Jul-16, 10:16 am AEST lol @ Clutz sending an email saying they’ve received more than 1000 apps",2025
Sydney Clerkship 2025 -  Graduate programs,https://forums.whirlpool.net.au/thread/3246kzy8,21,Anom99190,,"User #932983 4 posts Anom99190 I'm new here, please be nice reference: whrl.pl/RgPH61 posted 2025-Jul-16, 11:30 am AEST ref: whrl.pl/RgPH61 posted 2025-Jul-16, 11:30 am AEST I did a few of the “insight” programs at the top tiers and they all said they get around 1k applicants. Just the nature of there being 15 universities in NSW offering law, and also many ANU students apply for NSW firms.",2025
