thread_title,thread_url,post_number,author,timestamp,content,year
Sydney Clerkship 2025,https://forums.whirlpool.net.au/thread/3246kzy8,0,,posted 2025-Aug-15,"last updated – posted 2025-Aug-15, 1:25 pm AEST posted 2025-Aug-15, 1:25 pm AEST",2025
Sydney Clerkship 2025,https://forums.whirlpool.net.au/thread/3246kzy8,2,SilverVerdict90,posted 2025-Jul-7,Starting this thread as applications come to a close this week,2025
Sydney Clerkship 2025,https://forums.whirlpool.net.au/thread/3246kzy8,3,Hopeforanoffer,posted 2025-Jul-14,Congrats to everyone on submitting their applications! Do we know when we’ll likely start hearing back from most of the firms?,2025
Sydney Clerkship 2025,https://forums.whirlpool.net.au/thread/3246kzy8,5,SilverVerdict90,posted 2025-Jul-14,"Congrats everyone
we will probably hear back end of July",2025
Sydney Clerkship 2025,https://forums.whirlpool.net.au/thread/3246kzy8,6,chocolatefudge3,posted 2025-Jul-14,+1 GnT Psych,2025
Sydney Clerkship 2025,https://forums.whirlpool.net.au/thread/3246kzy8,7,Hopeforanoffer,posted 2025-Jul-14,How did they manage to get back to us in just one day? Has anyone heard back from any other firms yet?,2025
Sydney Clerkship 2025,https://forums.whirlpool.net.au/thread/3246kzy8,8,letterofintent22,posted 2025-Jul-14,+1 GnT Psych,2025
Sydney Clerkship 2025,https://forums.whirlpool.net.au/thread/3246kzy8,9,SilverVerdict90,posted 2025-Jul-14,"+1 GnT Psych
What time did everyone get the email?",2025
Sydney Clerkship 2025,https://forums.whirlpool.net.au/thread/3246kzy8,10,overthinker123,posted 2025-Jul-14,I thought everyone gets the psych test? I got mine around 12:30pm,2025
Sydney Clerkship 2025,https://forums.whirlpool.net.au/thread/3246kzy8,11,SilverVerdict90,posted 2025-Jul-14,"I got mine around 12
Not sure if everyone gets it. Website says only short listed applications but I'm surprised how they can do it in one day",2025
Sydney Clerkship 2025,https://forums.whirlpool.net.au/thread/3246kzy8,12,overthinker123,posted 2025-Jul-15,It is probably done via rolling basis or they just have a WAM cut off,2025
Sydney Clerkship 2025,https://forums.whirlpool.net.au/thread/3246kzy8,13,effystonem92,posted 2025-Jul-15,"I'm a procrastinating lawyer who went through the Sydney process a few years ago, so I can't guarantee this is still the case or that it's even accurate to begin with. But back then, people generally understood that G+T supposedly used AI to scan our cover letters and other materials for key words to progress candidates for psychometric testing. With ChatGPT and other advancements now, I’d imagine things have evolved quite a bit since then! Hope this helps. :)",2025
Sydney Clerkship 2025,https://forums.whirlpool.net.au/thread/3246kzy8,14,Anonuserrecovery,posted 2025-Jul-15,delete,2025
Sydney Clerkship 2025,https://forums.whirlpool.net.au/thread/3246kzy8,15,overthinker123,posted 2025-Jul-15,Oooh thanks! Quite arbitary to have AI to decide who to progress to the next stage tho,2025
