firm_name,content,raw_content,timestamp,thread_url,quality_score,is_question,is_meta_low,is_too_short,words,unique_words,sentences,reasons
Gilbert + Tobin,"For G+T VI, IMHO, be ready for at least one of the questions to be a more social or unexpected question, something a bit off the beaten path. A few years ago, for example, one of the questions was 'What is your most embarrassing moment?'. They tend to include a question like that every year to showcase your personality and see how well you can think on your feet, rather than flogging x4 standard behaviourals. That said, I'm speaking as someone who's no longer directly involved so this may longer be accurate, and unfortunately, you're not likely to get many people offering tips or giving you a heads-up advantage on online forums which is understandable, but hopefully this is somewhat of help.","For G+T VI, IMHO, be ready for at least one of the questions to be a more social or unexpected question, something a bit off the beaten path. A few years ago, for example, one of the questions was 'What is your most embarrassing moment?'. They tend to include a question like that every year to showcase your personality and see how well you can think on your feet, rather than flogging x4 standard behaviourals. That said, I'm speaking as someone who's no longer directly involved so this may longer be accurate, and unfortunately, you're not likely to get many people offering tips or giving you a heads-up advantage on online forums which is understandable, but hopefully this is somewhat of help.",posted 2025-Jul-30,https://forums.whirlpool.net.au/thread/3246kzy8,1.000,False,False,False,127,97,5,high_quality
Gilbert + Tobin,"For G+T VI, IMHO, be ready for at least one of the questions to be a more social or unexpected question, something a bit off the beaten path. A few years ago, for example, one of the questions was 'What is your most embarrassing moment?'. They tend to include a question like that every year to showcase your personality and see how well you can think on your feet, rather than flogging x4 standard behaviourals. That said, I'm speaking as someone who's no longer directly involved so this may longer be accurate, and unfortunately, you're not likely to get many people offering tips or giving you a heads-up advantage on online forums which is understandable, but hopefully this is somewhat of help.","User #871309 309 posts effystonem92 Forum Regular reference: whrl.pl/RgPXh1 posted 2025-Jul-30, 5:18 pm AEST ref: whrl.pl/RgPXh1 posted 2025-Jul-30, 5:18 pm AEST For G+T VI, IMHO, be ready for at least one of the questions to be a more social or unexpected question, something a bit off the beaten path. A few years ago, for example, one of the questions was 'What is your most embarrassing moment?'. They tend to include a question like that every year to showcase your personality and see how well you can think on your feet, rather than flogging x4 standard behaviourals. That said, I'm speaking as someone who's no longer directly involved so this may longer be accurate, and unfortunately, you're not likely to get many people offering tips or giving you a heads-up advantage on online forums which is understandable, but hopefully this is somewhat of help.",,https://forums.whirlpool.net.au/thread/3246kzy8,1.000,False,False,False,127,97,5,high_quality
Gilbert + Tobin,"Yeah totally, without fail there were always G+T paralegals who didn't make it through every single year when I was still in uni. That said, the whole process for all the firms can be pretty arbitrary and can be incredibly non-sensical and unfair at times (as I keep reminding my friend who is going through the process this year who reminded me about Whirlpool after all this time). While there might be general rules of thumb, there are always going to be exceptions to the rule, so you just have to try not to drive yourself too crazy reading into it all too much and just know none of it is a genuine reflection on your self-worth or whether you will succeed in commercial law. :)","Yeah totally, without fail there were always G+T paralegals who didn't make it through every single year when I was still in uni. That said, the whole process for all the firms can be pretty arbitrary and can be incredibly non-sensical and unfair at times (as I keep reminding my friend who is going through the process this year who reminded me about Whirlpool after all this time). While there might be general rules of thumb, there are always going to be exceptions to the rule, so you just have to try not to drive yourself too crazy reading into it all too much and just know none of it is a genuine reflection on your self-worth or whether you will succeed in commercial law. :)",posted 2025-Jul-15,https://forums.whirlpool.net.au/thread/3246kzy8,0.930,False,False,False,129,95,4,high_quality
Gilbert + Tobin,"Yeah totally, without fail there were always G+T paralegals who didn't make it through every single year when I was still in uni. That said, the whole process for all the firms can be pretty arbitrary and can be incredibly non-sensical and unfair at times (as I keep reminding my friend who is going through the process this year who reminded me about Whirlpool after all this time). While there might be general rules of thumb, there are always going to be exceptions to the rule, so you just have to try not to drive yourself too crazy reading into it all too much and just know none of it is a genuine reflection on your self-worth or whether you will succeed in commercial law. :)","User #871309 309 posts effystonem92 Forum Regular reference: whrl.pl/RgPHJD posted 2025-Jul-15, 9:03 pm AEST ref: whrl.pl/RgPHJD posted 2025-Jul-15, 9:03 pm AEST Yeah totally, without fail there were always G+T paralegals who didn't make it through every single year when I was still in uni. That said, the whole process for all the firms can be pretty arbitrary and can be incredibly non-sensical and unfair at times (as I keep reminding my friend who is going through the process this year who reminded me about Whirlpool after all this time). While there might be general rules of thumb, there are always going to be exceptions to the rule, so you just have to try not to drive yourself too crazy reading into it all too much and just know none of it is a genuine reflection on your self-worth or whether you will succeed in commercial law. :)",,https://forums.whirlpool.net.au/thread/3246kzy8,0.930,False,False,False,129,95,4,high_quality
Gilbert + Tobin,"User #934688 12 posts Lemons010 I'm new here, please be nice reference: G+T is no longer doing video interviews anymore, it’s just the Super Saturday event which involves a 45 minute interview with 2 partners, an individual assessment and a group assessment.","User #934688 12 posts Lemons010 I'm new here, please be nice reference: whrl.pl/RgPXid posted 2025-Jul-30, 5:23 pm AEST ref: whrl.pl/RgPXid posted 2025-Jul-30, 5:23 pm AEST G+T is no longer doing video interviews anymore, it’s just the Super Saturday event which involves a 45 minute interview with 2 partners, an individual assessment and a group assessment. Edit – I just realised you’re in Perth, the above only applies to Sydney!",,https://forums.whirlpool.net.au/thread/3246kzy8,0.897,False,False,False,45,43,1,high_quality
Gilbert + Tobin,"I'm a procrastinating lawyer who went through the Sydney process a few years ago, so I can't guarantee this is still the case or that it's even accurate to begin with. But back then, people generally understood that G+T supposedly used AI to scan our cover letters and other materials for key words to progress candidates for psychometric testing. With ChatGPT and other advancements now, I’d imagine things have evolved quite a bit since then! Hope this helps. :)","I'm a procrastinating lawyer who went through the Sydney process a few years ago, so I can't guarantee this is still the case or that it's even accurate to begin with. But back then, people generally understood that G+T supposedly used AI to scan our cover letters and other materials for key words to progress candidates for psychometric testing. With ChatGPT and other advancements now, I’d imagine things have evolved quite a bit since then! Hope this helps. :)",posted 2025-Jul-15,https://forums.whirlpool.net.au/thread/3246kzy8,0.882,False,False,False,83,68,5,high_quality
Gilbert + Tobin,"I'm a procrastinating lawyer who went through the Sydney process a few years ago, so I can't guarantee this is still the case or that it's even accurate to begin with. But back then, people generally understood that G+T supposedly used AI to scan our cover letters and other materials for key words to progress candidates for psychometric testing. With ChatGPT and other advancements now, I’d imagine things have evolved quite a bit since then! Hope this helps. :)","User #871309 309 posts effystonem92 Forum Regular reference: whrl.pl/RgPHFZ posted 2025-Jul-15, 7:48 pm AEST ref: whrl.pl/RgPHFZ posted 2025-Jul-15, 7:48 pm AEST I'm a procrastinating lawyer who went through the Sydney process a few years ago, so I can't guarantee this is still the case or that it's even accurate to begin with. But back then, people generally understood that G+T supposedly used AI to scan our cover letters and other materials for key words to progress candidates for psychometric testing. With ChatGPT and other advancements now, I’d imagine things have evolved quite a bit since then! Hope this helps. :)",,https://forums.whirlpool.net.au/thread/3246kzy8,0.882,False,False,False,83,68,5,high_quality
Gilbert + Tobin,"User #765393 18 posts notme I'm new here, please be nice reference: can anyone offer any insight into what the video interview for G+T entails? I'm in Perth and just received an invite. I only ask because I bombed the DLA Piper one, but would rather not bomb this one too lol","User #765393 18 posts notme I'm new here, please be nice reference: whrl.pl/RgPXhD posted 2025-Jul-30, 5:13 pm AEST ref: whrl.pl/RgPXhD posted 2025-Jul-30, 5:13 pm AEST can anyone offer any insight into what the video interview for G+T entails? I'm in Perth and just received an invite. I only ask because I bombed the DLA Piper one, but would rather not bomb this one too lol",,https://forums.whirlpool.net.au/thread/3246kzy8,0.862,False,True,False,55,49,3,"high_quality,meta"
Gilbert + Tobin,"User #865983 11 posts comfylao I'm new here, please be nice reference: Last year G+T paid for a number of flights for interstate candidates to make the assessment day. Particularly from Adelaide. Not sure they’d do the same for Canberra or states where they have other offices to clerk at.","User #865983 11 posts comfylao I'm new here, please be nice reference: whrl.pl/RgPKKk posted 2025-Jul-19, 8:41 am AEST ref: whrl.pl/RgPKKk posted 2025-Jul-19, 8:41 am AEST Last year G+T paid for a number of flights for interstate candidates to make the assessment day. Particularly from Adelaide. Not sure they’d do the same for Canberra or states where they have other offices to clerk at.",,https://forums.whirlpool.net.au/thread/3246kzy8,0.798,False,False,False,53,48,3,high_quality
Gilbert + Tobin,I called G+T at about 11 – they basically told me that spots were filled so dw about rolling offers. Good luck with your other offers,I called G+T at about 11 – they basically told me that spots were filled so dw about rolling offers. Good luck with your other offers,posted 2024-Oct-16,https://forums.whirlpool.net.au/thread/9rvj6npn,0.780,False,False,False,26,24,2,high_quality
