firm_name,content,raw_content,timestamp,thread_url,quality_score,is_question,is_meta_low,is_too_short,words,unique_words,sentences,reasons
Gilbert + Tobin,"I'm a procrastinating lawyer who went through the Sydney process a few years ago, so I can't guarantee this is still the case or that it's even accurate to begin with. But back then, people generally understood that G+T supposedly used AI to scan our cover letters and other materials for key words to progress candidates for psychometric testing. With ChatGPT and other advancements now, I’d imagine things have evolved quite a bit since then! Hope this helps. :)","I'm a procrastinating lawyer who went through the Sydney process a few years ago, so I can't guarantee this is still the case or that it's even accurate to begin with. But back then, people generally understood that G+T supposedly used AI to scan our cover letters and other materials for key words to progress candidates for psychometric testing. With ChatGPT and other advancements now, I’d imagine things have evolved quite a bit since then! Hope this helps. :)",posted 2025-Jul-15,https://forums.whirlpool.net.au/thread/3246kzy8,0.882,False,False,False,83,68,5,high_quality
Gilbert + Tobin,"Yeah totally, without fail there were always G+T paralegals who didn't make it through every single year when I was still in uni. That said, the whole process for all the firms can be pretty arbitrary and can be incredibly non-sensical and unfair at times (as I keep reminding my friend who is going through the process this year who reminded me about Whirlpool after all this time). While there might be general rules of thumb, there are always going to be exceptions to the rule, so you just have to try not to drive yourself too crazy reading into it all too much and just know none of it is a genuine reflection on your self-worth or whether you will succeed in commercial law. :)","Yeah totally, without fail there were always G+T paralegals who didn't make it through every single year when I was still in uni. That said, the whole process for all the firms can be pretty arbitrary and can be incredibly non-sensical and unfair at times (as I keep reminding my friend who is going through the process this year who reminded me about Whirlpool after all this time). While there might be general rules of thumb, there are always going to be exceptions to the rule, so you just have to try not to drive yourself too crazy reading into it all too much and just know none of it is a genuine reflection on your self-worth or whether you will succeed in commercial law. :)",posted 2025-Jul-15,https://forums.whirlpool.net.au/thread/3246kzy8,0.930,False,False,False,129,95,4,high_quality
Gilbert + Tobin,"1 G+T - 1 W+C
does anyone know if certain firms have weird/alternative modes of testing clerks? am i cooked for the big6 firms if i didnt get g+t after the psych test","- 1 G+T - 1 W+C
does anyone know if certain firms have weird/alternative modes of testing clerks? am i cooked for the big6 firms if i didnt get g+t after the psych test",posted 2025-Jul-20,https://forums.whirlpool.net.au/thread/3246kzy8,0.755,False,False,False,36,29,2,high_quality
Gilbert + Tobin,"For G+T VI, IMHO, be ready for at least one of the questions to be a more social or unexpected question, something a bit off the beaten path. A few years ago, for example, one of the questions was 'What is your most embarrassing moment?'. They tend to include a question like that every year to showcase your personality and see how well you can think on your feet, rather than flogging x4 standard behaviourals. That said, I'm speaking as someone who's no longer directly involved so this may longer be accurate, and unfortunately, you're not likely to get many people offering tips or giving you a heads-up advantage on online forums which is understandable, but hopefully this is somewhat of help.","For G+T VI, IMHO, be ready for at least one of the questions to be a more social or unexpected question, something a bit off the beaten path. A few years ago, for example, one of the questions was 'What is your most embarrassing moment?'. They tend to include a question like that every year to showcase your personality and see how well you can think on your feet, rather than flogging x4 standard behaviourals. That said, I'm speaking as someone who's no longer directly involved so this may longer be accurate, and unfortunately, you're not likely to get many people offering tips or giving you a heads-up advantage on online forums which is understandable, but hopefully this is somewhat of help.",posted 2025-Jul-30,https://forums.whirlpool.net.au/thread/3246kzy8,1.000,False,False,False,127,97,5,high_quality
Gilbert + Tobin,"based on the g+t social media, they're getting back to everyone by COB today","based on the g+t social media, they're getting back to everyone by COB today",posted 2024-Jul-19,https://forums.whirlpool.net.au/thread/3qr18x54,0.490,False,False,True,16,16,1,short
Gilbert + Tobin,anyone heard from G+T?,anyone heard from G+T?,posted 2024-Jul-19,https://forums.whirlpool.net.au/thread/3qr18x54,0.330,True,False,True,5,5,1,"question,short"
Gilbert + Tobin,+1 G+T - 1 NRF,+1 G+T - 1 NRF,posted 2024-Jul-19,https://forums.whirlpool.net.au/thread/3qr18x54,0.360,False,True,True,5,4,1,"meta,short"
Gilbert + Tobin,"+1 G+T
Did anyone apply to ABL?","+1 G+T
Did anyone apply to ABL?",posted 2024-Jul-20,https://forums.whirlpool.net.au/thread/3qr18x54,0.440,True,True,True,8,8,1,"question,meta,short"
Gilbert + Tobin,Also has anyone completed the G+T VI yet?,Also has anyone completed the G+T VI yet?,posted 2024-Jul-21,https://forums.whirlpool.net.au/thread/3qr18x54,0.570,True,False,True,9,9,1,"question,short"
Gilbert + Tobin,Was the G+T VI really weird like last years?,Was the G+T VI really weird like last years?,posted 2024-Jul-23,https://forums.whirlpool.net.au/thread/3qr18x54,0.490,True,False,True,10,10,1,"question,short"
Gilbert + Tobin,+1 G+T selection centre,+1 G+T selection centre,posted 2024-Jul-29,https://forums.whirlpool.net.au/thread/3qr18x54,0.360,False,True,True,5,5,1,"meta,short"
Gilbert + Tobin,Anyone else G+T,Anyone else G+T,posted 2024-Jul-29,https://forums.whirlpool.net.au/thread/3qr18x54,0.430,False,False,True,4,4,1,short
Gilbert + Tobin,"I just met my buddy for lunch today. My buddy got in contact with me through email.
Also, does anyone have any tips for the G+T selection centre?","I just met my buddy for lunch today. My buddy got in contact with me through email.
Also, does anyone have any tips for the G+T selection centre?",posted 2024-Aug-1,https://forums.whirlpool.net.au/thread/3qr18x54,0.750,True,False,False,29,26,3,"high_quality,question"
Gilbert + Tobin,"For the G+T super saturday, has anyone done the 'individual exercise' before? What was it/your thoughts?","For the G+T super saturday, has anyone done the 'individual exercise' before? What was it/your thoughts?",posted 2024-Aug-5,https://forums.whirlpool.net.au/thread/3qr18x54,0.570,True,False,True,18,17,2,"question,short"
Gilbert + Tobin,+ 1 G+T second round interview,+ 1 G+T second round interview,posted 2024-Aug-14,https://forums.whirlpool.net.au/thread/3qr18x54,0.540,False,False,True,6,6,1,short
Gilbert + Tobin,has anyone else heard from G+T? they've been radio silent for me,has anyone else heard from G+T? they've been radio silent for me,posted 2024-Sep-11,https://forums.whirlpool.net.au/thread/3qr18x54,0.390,True,False,True,14,14,2,"question,short"
Gilbert + Tobin,when did you hear from G+T?,@banana2894 when did you hear from G+T?,posted 2024-Sep-11,https://forums.whirlpool.net.au/thread/3qr18x54,0.330,True,False,True,7,7,1,"question,short"
Gilbert + Tobin,"MO sent me a rejection yesterday – that was quick! I didn't think they had a grade cut-off... not sure how else they would have judged my app so quickly?
Also has anyone received a VI for G+T?","MO sent me a rejection yesterday – that was quick! I didn't think they had a grade cut-off... not sure how else they would have judged my app so quickly?
Also has anyone received a VI for G+T?",posted 2024-Aug-17,https://forums.whirlpool.net.au/thread/9rvj6npn,0.775,True,False,False,40,36,4,"high_quality,question"
Gilbert + Tobin,G+T video interviews are out,G+T video interviews are out,posted 2024-Aug-22,https://forums.whirlpool.net.au/thread/9rvj6npn,0.550,False,False,True,6,6,1,short
Gilbert + Tobin,+1 G+T (Video Interview),+1 G+T (Video Interview),posted 2024-Aug-22,https://forums.whirlpool.net.au/thread/9rvj6npn,0.480,False,True,True,5,5,1,"meta,short"
Gilbert + Tobin,1 g+t Wonder how much the wam plays into it given we did not write a cover letter,-1 g+t Wonder how much the wam plays into it given we did not write a cover letter,posted 2024-Aug-22,https://forums.whirlpool.net.au/thread/9rvj6npn,0.620,False,False,True,19,19,1,short
Gilbert + Tobin,You got that right -1 WC -1 G+T,You got that right -1 WC -1 G+T,posted 2024-Aug-22,https://forums.whirlpool.net.au/thread/9rvj6npn,0.560,False,False,True,9,8,1,short
Gilbert + Tobin,"Yep, VI with G+T with 72 WAM from Go8:)","Yep, VI with G+T with 72 WAM from Go8:)",posted 2024-Aug-30,https://forums.whirlpool.net.au/thread/9rvj6npn,0.540,False,False,True,10,9,1,short
Gilbert + Tobin,Does anyone know when we should be hearing back from G+T post-VI? Also if we haven't heard back from ABL or DLA does that mean it's a rejection?,Does anyone know when we should be hearing back from G+T post-VI? Also if we haven't heard back from ABL or DLA does that mean it's a rejection?,posted 2024-Sep-4,https://forums.whirlpool.net.au/thread/9rvj6npn,0.815,True,False,False,32,27,2,"high_quality,question"
Gilbert + Tobin,Also G+T?,Also G+T?,posted 2024-Sep-6,https://forums.whirlpool.net.au/thread/9rvj6npn,0.250,True,False,True,3,3,1,"question,short"
Gilbert + Tobin,+1 G+T interview (an hour ago),+1 G+T interview (an hour ago),posted 2024-Sep-9,https://forums.whirlpool.net.au/thread/9rvj6npn,0.420,False,True,True,7,7,1,"meta,short"
Gilbert + Tobin,anyone getting calls from G+T after 10am? Or should I assume its a rejection. Also anything from CU?,anyone getting calls from G+T after 10am? Or should I assume its a rejection. Also anything from CU?,posted 2024-Oct-16,https://forums.whirlpool.net.au/thread/9rvj6npn,0.310,True,False,True,19,18,3,"question,short"
Gilbert + Tobin,I called G+T at about 11 – they basically told me that spots were filled so dw about rolling offers. Good luck with your other offers,I called G+T at about 11 – they basically told me that spots were filled so dw about rolling offers. Good luck with your other offers,posted 2024-Oct-16,https://forums.whirlpool.net.au/thread/9rvj6npn,0.780,False,False,False,26,24,2,high_quality
Gilbert + Tobin,Rejection for g+t. Would you guys mind sharing your stats so I can get a sense of where my app might have fell down? Thanks !,Rejection for g+t. Would you guys mind sharing your stats so I can get a sense of where my app might have fell down? Thanks !,posted 2024-Aug-1,https://forums.whirlpool.net.au/thread/9vw41k2j,0.490,False,True,False,26,26,3,meta
Gilbert + Tobin,+ G+T,+ G+T,posted 2024-Aug-13,https://forums.whirlpool.net.au/thread/9vw41k2j,0.430,False,False,True,2,2,1,short
Gilbert + Tobin,"How did everyone that was invited go with the G+T VI? I thought it was tough, but fair. I enjoyed the format.","How did everyone that was invited go with the G+T VI? I thought it was tough, but fair. I enjoyed the format.",posted 2023-Jul-27,https://forums.whirlpool.net.au/thread/3z4y6w4w,0.630,False,False,True,23,20,3,short
Gilbert + Tobin,"User #765393 18 posts notme I'm new here, please be nice reference: +1 G+T Video Interview","User #765393 18 posts notme I'm new here, please be nice reference: whrl.pl/RgPXfJ posted 2025-Jul-30, 4:42 pm AEST ref: whrl.pl/RgPXfJ posted 2025-Jul-30, 4:42 pm AEST +1 G+T Video Interview",,https://forums.whirlpool.net.au/thread/974pxqk5,0.540,False,True,True,18,18,1,"meta,short"
Gilbert + Tobin,"User #934046 8 posts andreami I'm new here, please be nice reference: O.P. +1 G+T VI","User #934046 8 posts andreami I'm new here, please be nice reference: whrl.pl/RgPXmx posted 2025-Jul-30, 6:32 pm AEST ref: whrl.pl/RgPXmx posted 2025-Jul-30, 6:32 pm AEST O.P. +1 G+T VI",,https://forums.whirlpool.net.au/thread/974pxqk5,0.480,False,True,True,19,19,3,"meta,short"
Gilbert + Tobin,"User #934879 1 posts hilaw I'm new here, please be nice reference: +1 G+T video interview","User #934879 1 posts hilaw I'm new here, please be nice reference: whrl.pl/RgPXtd posted 2025-Jul-30, 8:26 pm AEST ref: whrl.pl/RgPXtd posted 2025-Jul-30, 8:26 pm AEST +1 G+T video interview",,https://forums.whirlpool.net.au/thread/974pxqk5,0.540,False,True,True,18,17,1,"meta,short"
Gilbert + Tobin,"User #935115 8 posts wna6568 I'm new here, please be nice reference: +G+T","User #935115 8 posts wna6568 I'm new here, please be nice reference: whrl.pl/RgQayK posted 2025-Aug-13, 2:11 pm AEST ref: whrl.pl/RgQayK posted 2025-Aug-13, 2:11 pm AEST +G+T",,https://forums.whirlpool.net.au/thread/974pxqk5,0.540,False,False,True,15,15,1,short
