firm_name,content,raw_content,timestamp,thread_url,quality_score,is_question,is_meta_low,is_too_short,words,unique_words,sentences,reasons
Norton Rose Fulbright,"MO and TG primarily. Some friends have gotten TG offers, some have gotten rejections, but I've heard nothing.
I do know that NRF sent out their offers, but I didn't hear anything from them. I'm assuming that they don't send out rejection emails.","MO and TG primarily. Some friends have gotten TG offers, some have gotten rejections, but I've heard nothing.
I do know that NRF sent out their offers, but I didn't hear anything from them. I'm assuming that they don't send out rejection emails.",posted 2025-Jul-21,https://forums.whirlpool.net.au/thread/3246kzy8,0.853,False,False,False,47,35,4,high_quality
Norton Rose Fulbright,"TG/MO purgatory is not fun – hoping it's a system delay haha. Entirely possible they could be sending rejections/interview offers out in batches? For NRF, at least, I got my offer around half an hour after another commenter said they got theirs, although 24hrs might be a stretch. Oh well, not much we can do but wait.
Also still nothing from DLA despite their apps closing on the 6th, but I've heard they're notorious for doing everything super late, so I wouldn't be panicking yet.","TG/MO purgatory is not fun – hoping it's a system delay haha. Entirely possible they could be sending rejections/interview offers out in batches? For NRF, at least, I got my offer around half an hour after another commenter said they got theirs, although 24hrs might be a stretch. Oh well, not much we can do but wait.
Also still nothing from DLA despite their apps closing on the 6th, but I've heard they're notorious for doing everything super late, so I wouldn't be panicking yet.",posted 2025-Jul-21,https://forums.whirlpool.net.au/thread/3246kzy8,0.900,False,True,False,90,79,5,"high_quality,meta"
Norton Rose Fulbright,"I similarly got informed 19th August for second round interviews for NRF, but heard they also told others couple weeks so bit confused on that","I similarly got informed 19th August for second round interviews for NRF, but heard they also told others couple weeks so bit confused on that",posted 2025-Aug-11,https://forums.whirlpool.net.au/thread/3246kzy8,0.750,False,False,False,25,24,1,high_quality
Norton Rose Fulbright,+1 NRF (today) and Jones Day (not today),+1 NRF (today) and Jones Day (not today),posted 2024-Jul-19,https://forums.whirlpool.net.au/thread/3qr18x54,0.360,False,True,True,8,7,1,"meta,short"
Norton Rose Fulbright,Does anyone know the interview dates for NRF? information night is Wednesday but I can't find any timeline for the rest of the process?,Does anyone know the interview dates for NRF? information night is Wednesday but I can't find any timeline for the rest of the process?,posted 2024-Jul-21,https://forums.whirlpool.net.au/thread/3qr18x54,0.670,True,False,False,25,22,2,"high_quality,question"
Norton Rose Fulbright,the offers for NRF 1st round interviews went out earlier this week and included a link to the interview timeslots. They were all around late July – early August.,@friendlyman18 the offers for NRF 1st round interviews went out earlier this week and included a link to the interview timeslots. They were all around late July – early August.,posted 2024-Jul-21,https://forums.whirlpool.net.au/thread/3qr18x54,0.810,False,False,False,28,27,2,high_quality
Norton Rose Fulbright,"I haven’t gotten any email from NRF – I’ve heard people get interview offers and rejections, what should I make of this silence? Also, silence from JD and HFW, has anyone heard anything?","I haven’t gotten any email from NRF – I’ve heard people get interview offers and rejections, what should I make of this silence? Also, silence from JD and HFW, has anyone heard anything?",posted 2024-Jul-21,https://forums.whirlpool.net.au/thread/3qr18x54,0.880,True,False,False,34,28,2,"high_quality,question"
Norton Rose Fulbright,"same boat as you re NRF and A&O – trying to stay optimistic. Are you final year by any chance or penultimate? I'm final year, so I'm wondering if maybe they screen the final years separately, and our offers might come a bit later (as A&O application had asked specifically if we are 5th year). Or maybe I am just wishful...the whole process is such a mystery lol. It is painful going through it twice ngl :')","@alexsmith same boat as you re NRF and A&O – trying to stay optimistic. Are you final year by any chance or penultimate? I'm final year, so I'm wondering if maybe they screen the final years separately, and our offers might come a bit later (as A&O application had asked specifically if we are 5th year). Or maybe I am just wishful...the whole process is such a mystery lol. It is painful going through it twice ngl :')",posted 2024-Jul-22,https://forums.whirlpool.net.au/thread/3qr18x54,0.795,False,True,False,80,59,6,"high_quality,meta"
Norton Rose Fulbright,1 NRF. RIP.,- 1 NRF. RIP.,posted 2024-Jul-24,https://forums.whirlpool.net.au/thread/3qr18x54,0.480,False,False,True,3,3,2,short
Norton Rose Fulbright,I still haven’t received an offer or rejection from NRF. Really wish they’d do it all in one go,I still haven’t received an offer or rejection from NRF. Really wish they’d do it all in one go,posted 2024-Jul-24,https://forums.whirlpool.net.au/thread/3qr18x54,0.630,False,False,True,21,21,2,short
Norton Rose Fulbright,Same here – nothing from NRF at all.,Same here – nothing from NRF at all.,posted 2024-Jul-24,https://forums.whirlpool.net.au/thread/3qr18x54,0.310,False,True,True,7,7,1,"meta,short"
Norton Rose Fulbright,"you’re probably right. Me and my friends are 5th years and we all haven’t heard from NRF, despite them sending out rejections this morning. I just don’t know why they screen fifth years separate when they advertise both 4th and 5th are eligible for the program","@user123user you’re probably right. Me and my friends are 5th years and we all haven’t heard from NRF, despite them sending out rejections this morning. I just don’t know why they screen fifth years separate when they advertise both 4th and 5th are eligible for the program",posted 2024-Jul-24,https://forums.whirlpool.net.au/thread/3qr18x54,0.738,False,False,False,49,42,3,high_quality
