firm_name,firm_alias,program_type,city,intake_year,application_open_date,application_close_date,program_length_months,rotations_count,salary_annual_aud,evidence_span,thread_title,thread_url,post_number,post_timestamp,source_file,confidence,created_at
Gilbert + Tobin,g+t,clerkship,Sydney,2025,,,,,,"rantee this is still the case or that it's even accurate to begin with. But back then, people generally understood that G+T supposedly used AI to scan our cover letters and other materials for key words to progress candidates for psychometr",Sydney Clerkship 2025,https://forums.whirlpool.net.au/thread/3246kzy8,13,2025-07-15T00:00:00,law_raw.csv,0.9,2025-08-15T08:48:08.800199
Ashurst,ashurst,clerkship,Sydney,2025,,,,,,"Sydney Clerkship 2025 I got no confirmation from Ashurst either, so I think it's normal. If the other firms who use cappfinity are anything to go by, we should be emaile",Sydney Clerkship 2025,https://forums.whirlpool.net.au/thread/3246kzy8,16,2025-07-15T00:00:00,law_raw.csv,0.9,2025-08-15T08:48:08.802737
Gilbert + Tobin,g+t,clerkship,Sydney,2025,,,,,,"Sydney Clerkship 2025 Yeah totally, without fail there were always G+T paralegals who didn't make it through every single year when I was still in uni. That said, the whole process for al",Sydney Clerkship 2025,https://forums.whirlpool.net.au/thread/3246kzy8,17,2025-07-15T00:00:00,law_raw.csv,0.9,2025-08-15T08:48:08.804744
Ashurst,ashurst,clerkship,Sydney,2025,,,,,,"er firms who use cappfinity are anything to go by, we should be emailed a report soon. I haven’t received a report from Ashurst or White & Case",Sydney Clerkship 2025,https://forums.whirlpool.net.au/thread/3246kzy8,19,2025-07-15T00:00:00,law_raw.csv,0.8,2025-08-15T08:48:08.805750
White & Case,white & case,clerkship,Sydney,2025,,,,,,"o use cappfinity are anything to go by, we should be emailed a report soon. I haven’t received a report from Ashurst or White & Case",Sydney Clerkship 2025,https://forums.whirlpool.net.au/thread/3246kzy8,19,2025-07-15T00:00:00,law_raw.csv,0.8,2025-08-15T08:48:08.805911
Clayton Utz,clutz,clerkship,Sydney,2025,,,,,,Sydney Clerkship 2025 lol @ Clutz sending an email saying they’ve received more than 1000 apps,Sydney Clerkship 2025,https://forums.whirlpool.net.au/thread/3246kzy8,20,2025-07-16T00:00:00,law_raw.csv,0.9,2025-08-15T08:48:08.806723
Baker McKenzie,bakers,clerkship,Sydney,2025,,,,,,Sydney Clerkship 2025 - 1 Bakers,Sydney Clerkship 2025,https://forums.whirlpool.net.au/thread/3246kzy8,25,2025-07-16T00:00:00,law_raw.csv,0.9,2025-08-15T08:48:08.810372
Ashurst,ashurst,clerkship,Sydney,2025,,,,,,Sydney Clerkship 2025 Still no report from Ashurst for you?,Sydney Clerkship 2025,https://forums.whirlpool.net.au/thread/3246kzy8,26,2025-07-16T00:00:00,law_raw.csv,0.9,2025-08-15T08:48:08.811031
Ashurst,ashurst,clerkship,Sydney,2025,,,,,,Sydney Clerkship 2025 Anonuserrecovery writes... Still no report from Ashurst for you? None for me,Sydney Clerkship 2025,https://forums.whirlpool.net.au/thread/3246kzy8,27,2025-07-16T00:00:00,law_raw.csv,0.9,2025-08-15T08:48:08.811800
Baker McKenzie,bakers,clerkship,Sydney,2025,,,,,,Sydney Clerkship 2025 -1 Bakers,Sydney Clerkship 2025,https://forums.whirlpool.net.au/thread/3246kzy8,28,2025-07-16T00:00:00,law_raw.csv,0.9,2025-08-15T08:48:08.812753
Baker McKenzie,bakers,clerkship,Sydney,2025,,,,,,Sydney Clerkship 2025 + 1 GnT Psych on Monday - 1 Bakers,Sydney Clerkship 2025,https://forums.whirlpool.net.au/thread/3246kzy8,30,2025-07-16T00:00:00,law_raw.csv,0.9,2025-08-15T08:48:08.814021
DLA Piper,dla,clerkship,Sydney,2025,,,,,,Sydney Clerkship 2025 has anyone heard back from DLA?,Sydney Clerkship 2025,https://forums.whirlpool.net.au/thread/3246kzy8,31,2025-07-16T00:00:00,law_raw.csv,0.9,2025-08-15T08:48:08.814745
Baker McKenzie,bakers,clerkship,Sydney,2025,,,,,,Sydney Clerkship 2025 -1 bakers,Sydney Clerkship 2025,https://forums.whirlpool.net.au/thread/3246kzy8,33,2025-07-17T00:00:00,law_raw.csv,0.9,2025-08-15T08:48:08.815787
Norton Rose Fulbright,nrf,clerkship,Sydney,2025,,,,,,Sydney Clerkship 2025 +1 NRF first round interview,Sydney Clerkship 2025,https://forums.whirlpool.net.au/thread/3246kzy8,34,2025-07-17T00:00:00,law_raw.csv,0.9,2025-08-15T08:48:08.816542
Norton Rose Fulbright,nrf,clerkship,Sydney,2025,,,,,,Sydney Clerkship 2025 +1 NRF,Sydney Clerkship 2025,https://forums.whirlpool.net.au/thread/3246kzy8,35,2025-07-17T00:00:00,law_raw.csv,0.9,2025-08-15T08:48:08.817184
Norton Rose Fulbright,nrf,clerkship,Sydney,2025,,,,,,Sydney Clerkship 2025 Just wondering if any more NRF first round interviews are likely to be released? Haven’t heard anything from them yet and had a referral from a Par,Sydney Clerkship 2025,https://forums.whirlpool.net.au/thread/3246kzy8,39,2025-07-17T00:00:00,law_raw.csv,0.9,2025-08-15T08:48:08.819650
Norton Rose Fulbright,nrf,clerkship,Sydney,2025,,,,,,Sydney Clerkship 2025 Did your Partner referral come from NRF?,Sydney Clerkship 2025,https://forums.whirlpool.net.au/thread/3246kzy8,41,2025-07-17T00:00:00,law_raw.csv,0.9,2025-08-15T08:48:08.821042
Norton Rose Fulbright,nrf,clerkship,Sydney,2025,,,,,,Sydney Clerkship 2025 Yeah partner that referred me works at NRF,Sydney Clerkship 2025,https://forums.whirlpool.net.au/thread/3246kzy8,42,2025-07-17T00:00:00,law_raw.csv,0.9,2025-08-15T08:48:08.821848
Johnson Winter Slattery,jws,clerkship,Sydney,2025,,,,,,"Sydney Clerkship 2025 Has anyone heard back from MO, JWS or W&C? They’re usually very fast",Sydney Clerkship 2025,https://forums.whirlpool.net.au/thread/3246kzy8,44,2025-07-17T00:00:00,law_raw.csv,0.9,2025-08-15T08:48:08.823243
Johnson Winter Slattery,jws,clerkship,Sydney,2025,,,,,,Sydney Clerkship 2025 Nothing from JWS yet.,Sydney Clerkship 2025,https://forums.whirlpool.net.au/thread/3246kzy8,45,2025-07-17T00:00:00,law_raw.csv,0.9,2025-08-15T08:48:08.823950
Ashurst,ashurst,clerkship,Sydney,2025,,,,,,"F (around (9:30ish this morning) -1 Bakers (yesterday arvo) Nothing from JWS, MO or W&C for me as of now. I also got my Ashurst report – if it means anything, I did it a few hours before the deadline. Pretty sure I bombed most of the psycho",Sydney Clerkship 2025,https://forums.whirlpool.net.au/thread/3246kzy8,49,2025-07-17T00:00:00,law_raw.csv,0.8,2025-08-15T08:48:08.827026
